"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome"
36,"blue-collar","divorced","secondary","no",221,"yes","no","unknown",20,"may",189,1,-1,0,"unknown"
31,"services","single","secondary","no",374,"no","no","telephone",28,"jan",49,4,-1,0,"unknown"
60,"retired","married","tertiary","no",1336,"no","no","unknown",18,"jun",324,1,-1,0,"unknown"
60,"retired","married","tertiary","no",3461,"no","no","cellular",26,"may",94,2,112,2,"failure"
50,"technician","divorced","secondary","no",396,"no","no","unknown",20,"jun",716,2,-1,0,"unknown"
41,"blue-collar","married","primary","no",1500,"yes","no","cellular",31,"jul",101,6,-1,0,"unknown"
30,"management","single","tertiary","no",3773,"yes","no","unknown",27,"may",99,1,-1,0,"unknown"
50,"admin.","married","secondary","no",1241,"yes","yes","telephone",17,"nov",49,2,-1,0,"unknown"
32,"blue-collar","single","primary","no",36,"yes","no","cellular",20,"nov",290,2,-1,0,"unknown"
30,"management","married","tertiary","no",549,"no","no","cellular",28,"aug",59,8,-1,0,"unknown"
59,"retired","married","secondary","no",1896,"no","no","telephone",20,"nov",134,9,-1,0,"unknown"
54,"management","married","tertiary","no",1464,"no","no","cellular",30,"jun",157,1,-1,0,"unknown"
35,"admin.","single","secondary","no",289,"yes","no","cellular",28,"jul",48,10,-1,0,"unknown"
42,"management","married","tertiary","no",372,"yes","no","cellular",3,"aug",654,2,-1,0,"unknown"
30,"entrepreneur","married","secondary","no",2926,"yes","no","unknown",28,"may",238,8,-1,0,"unknown"
31,"management","married","secondary","no",1064,"no","no","telephone",20,"nov",60,1,-1,0,"unknown"
35,"blue-collar","married","secondary","no",2926,"yes","no","cellular",8,"apr",182,1,292,25,"failure"
34,"services","married","secondary","no",-333,"yes","no","cellular",11,"may",218,4,285,5,"failure"
43,"management","divorced","tertiary","no",1052,"no","no","unknown",12,"jun",118,3,-1,0,"unknown"
45,"admin.","married","secondary","no",335,"no","no","cellular",9,"jul",89,3,-1,0,"unknown"
50,"admin.","married","secondary","no",1917,"yes","no","unknown",14,"may",200,2,-1,0,"unknown"
76,"housemaid","divorced","primary","no",1411,"no","no","telephone",15,"apr",170,3,-1,0,"unknown"
45,"unemployed","single","secondary","no",33,"no","no","cellular",5,"feb",437,1,-1,0,"unknown"
34,"admin.","single","primary","no",286,"yes","no","cellular",13,"may",329,1,-1,0,"unknown"
43,"technician","single","tertiary","no",4243,"yes","no","unknown",23,"may",30,10,-1,0,"unknown"
36,"blue-collar","married","secondary","no",937,"yes","no","telephone",2,"feb",29,4,-1,0,"unknown"
36,"blue-collar","married","primary","no",250,"yes","no","unknown",8,"may",149,1,-1,0,"unknown"
33,"blue-collar","married","secondary","yes",-406,"yes","yes","cellular",14,"jul",332,2,-1,0,"unknown"
25,"blue-collar","married","secondary","no",97,"yes","no","unknown",27,"may",709,1,-1,0,"unknown"
33,"blue-collar","married","primary","no",2720,"yes","no","unknown",26,"may",147,3,-1,0,"unknown"
39,"technician","married","unknown","no",0,"yes","no","cellular",12,"may",106,3,-1,0,"unknown"
28,"admin.","married","secondary","no",242,"yes","no","unknown",17,"sep",47,1,779,12,"failure"
32,"management","married","tertiary","no",2,"yes","no","cellular",14,"jul",79,3,-1,0,"unknown"
41,"blue-collar","divorced","secondary","no",174,"yes","no","cellular",14,"may",367,2,297,1,"other"
39,"unemployed","divorced","secondary","no",193,"yes","no","unknown",15,"may",73,1,-1,0,"unknown"
39,"management","married","tertiary","yes",47,"no","no","cellular",21,"nov",28,3,158,3,"failure"
51,"admin.","divorced","secondary","no",-338,"yes","no","cellular",29,"jul",97,2,-1,0,"unknown"
44,"technician","single","tertiary","no",2033,"no","no","cellular",27,"may",158,1,-1,0,"unknown"
31,"management","single","tertiary","no",0,"no","no","cellular",21,"aug",243,2,-1,0,"unknown"
35,"technician","married","tertiary","no",14232,"yes","no","cellular",18,"nov",372,2,-1,0,"unknown"
39,"technician","single","secondary","no",1104,"no","no","cellular",7,"aug",395,2,-1,0,"unknown"
55,"management","married","secondary","no",566,"yes","no","cellular",17,"apr",107,1,-1,0,"unknown"
25,"services","single","secondary","no",-121,"yes","no","cellular",6,"may",343,2,-1,0,"unknown"
29,"blue-collar","married","secondary","no",294,"yes","no","unknown",14,"may",594,2,-1,0,"unknown"
36,"technician","single","secondary","no",380,"yes","no","unknown",20,"may",134,1,-1,0,"unknown"
30,"management","single","tertiary","no",21,"no","no","cellular",26,"aug",61,7,-1,0,"unknown"
33,"management","single","tertiary","no",28,"yes","no","unknown",21,"may",237,2,-1,0,"unknown"
38,"blue-collar","married","primary","no",630,"yes","no","unknown",23,"may",201,3,-1,0,"unknown"
25,"admin.","single","secondary","no",18,"yes","no","cellular",22,"jul",129,1,-1,0,"unknown"
39,"student","single","unknown","no",64,"no","no","cellular",12,"nov",366,2,98,1,"failure"
38,"management","single","tertiary","no",1515,"yes","no","cellular",18,"nov",134,1,110,5,"failure"
32,"management","single","tertiary","no",703,"yes","no","cellular",17,"apr",200,3,-1,0,"unknown"
27,"management","single","tertiary","no",207,"no","no","telephone",26,"may",240,4,-1,0,"unknown"
30,"technician","single","secondary","no",3,"no","no","cellular",22,"aug",198,2,-1,0,"unknown"
48,"self-employed","single","unknown","no",0,"no","no","unknown",18,"jun",453,1,-1,0,"unknown"
29,"self-employed","married","tertiary","no",0,"yes","no","cellular",7,"may",253,2,302,1,"failure"
35,"management","married","tertiary","no",231,"no","no","cellular",26,"aug",130,6,-1,0,"unknown"
41,"blue-collar","married","secondary","no",433,"yes","no","cellular",16,"apr",75,1,-1,0,"unknown"
35,"services","married","secondary","no",44,"yes","no","telephone",17,"apr",377,2,-1,0,"unknown"
35,"admin.","married","secondary","no",56,"yes","no","unknown",13,"may",93,6,-1,0,"unknown"
28,"blue-collar","married","secondary","no",631,"yes","no","cellular",13,"apr",151,1,-1,0,"unknown"
42,"management","single","secondary","no",2535,"yes","no","unknown",14,"may",339,1,-1,0,"unknown"
42,"housemaid","divorced","tertiary","no",364,"no","no","cellular",18,"nov",52,1,-1,0,"unknown"
45,"technician","married","secondary","no",34,"no","no","telephone",27,"aug",96,7,-1,0,"unknown"
28,"blue-collar","single","primary","no",8263,"yes","no","unknown",2,"jun",267,1,-1,0,"unknown"
46,"unemployed","married","secondary","no",931,"no","no","cellular",29,"jul",156,5,-1,0,"unknown"
49,"technician","divorced","secondary","no",305,"no","no","cellular",24,"jul",367,2,-1,0,"unknown"
54,"self-employed","divorced","primary","no",4382,"yes","no","telephone",18,"may",193,4,-1,0,"unknown"
37,"technician","divorced","secondary","no",630,"yes","no","cellular",20,"apr",28,2,-1,0,"unknown"
37,"admin.","married","secondary","no",373,"no","no","cellular",29,"aug",98,10,-1,0,"unknown"
26,"services","single","secondary","no",2047,"yes","no","cellular",15,"may",457,1,-1,0,"unknown"
46,"blue-collar","divorced","primary","no",1712,"no","no","unknown",19,"jun",110,1,-1,0,"unknown"
29,"admin.","single","secondary","no",3432,"yes","no","cellular",17,"apr",139,2,-1,0,"unknown"
47,"entrepreneur","married","unknown","yes",-1445,"yes","no","unknown",12,"may",379,2,-1,0,"unknown"
27,"admin.","single","tertiary","no",3672,"yes","no","cellular",15,"may",157,2,351,5,"failure"
50,"admin.","married","secondary","no",-195,"no","no","cellular",22,"aug",119,4,-1,0,"unknown"
36,"technician","single","secondary","no",1044,"yes","no","cellular",20,"aug",15,19,-1,0,"unknown"
31,"services","single","secondary","no",516,"yes","no","unknown",13,"may",271,2,-1,0,"unknown"
40,"housemaid","married","secondary","no",1029,"yes","yes","cellular",17,"nov",117,2,117,3,"failure"
34,"blue-collar","married","secondary","no",496,"yes","no","cellular",13,"may",333,1,-1,0,"unknown"
43,"admin.","married","secondary","no",2,"yes","yes","cellular",22,"jul",254,1,-1,0,"unknown"
41,"unknown","single","tertiary","no",1567,"no","no","cellular",1,"jul",291,2,-1,0,"unknown"
49,"management","married","tertiary","no",378,"yes","no","unknown",5,"may",230,1,-1,0,"unknown"
46,"technician","married","secondary","no",49,"yes","no","unknown",30,"may",96,3,-1,0,"unknown"
43,"blue-collar","married","secondary","no",-179,"yes","no","cellular",30,"jul",335,6,-1,0,"unknown"
55,"blue-collar","married","primary","no",4103,"no","no","cellular",19,"nov",291,1,-1,0,"unknown"
40,"management","married","tertiary","yes",0,"no","no","cellular",28,"jul",165,5,-1,0,"unknown"
28,"services","single","secondary","no",102,"no","no","cellular",15,"jun",64,1,89,3,"other"
52,"admin.","divorced","tertiary","no",0,"yes","yes","cellular",30,"jun",122,1,64,1,"failure"
42,"unemployed","married","primary","no",2636,"no","no","cellular",17,"nov",178,2,151,1,"failure"
31,"management","single","tertiary","no",635,"yes","no","cellular",20,"apr",37,1,320,2,"failure"
40,"technician","divorced","secondary","no",16,"yes","no","telephone",12,"may",34,12,347,5,"other"
31,"management","married","tertiary","no",10,"no","no","cellular",20,"nov",283,1,-1,0,"unknown"
26,"services","married","secondary","no",549,"no","no","unknown",3,"jul",149,1,-1,0,"unknown"
33,"management","single","tertiary","no",-53,"no","no","cellular",29,"jan",617,2,-1,0,"unknown"
49,"technician","divorced","tertiary","no",1807,"yes","no","cellular",12,"mar",229,1,-1,0,"unknown"
38,"management","single","tertiary","no",16957,"yes","no","telephone",29,"jan",208,1,247,2,"failure"
31,"admin.","single","secondary","no",33,"no","yes","cellular",23,"jul",194,1,-1,0,"unknown"
54,"blue-collar","married","secondary","no",1636,"no","no","telephone",20,"jul",1008,2,-1,0,"unknown"
31,"blue-collar","married","secondary","no",99,"yes","no","cellular",29,"jan",653,3,-1,0,"unknown"
31,"management","married","tertiary","no",303,"yes","no","unknown",14,"may",143,1,-1,0,"unknown"
37,"management","single","tertiary","no",1572,"no","no","cellular",20,"aug",90,6,-1,0,"unknown"
53,"admin.","divorced","tertiary","no",493,"yes","yes","cellular",17,"nov",64,3,-1,0,"unknown"
24,"technician","single","primary","no",126,"yes","no","unknown",20,"jun",10,58,-1,0,"unknown"
39,"technician","single","secondary","no",201,"no","yes","unknown",6,"jun",148,4,-1,0,"unknown"
70,"management","married","tertiary","no",13297,"no","no","cellular",2,"feb",579,2,-1,0,"unknown"
43,"blue-collar","married","unknown","no",245,"yes","no","cellular",16,"apr",829,1,-1,0,"unknown"
56,"self-employed","married","secondary","no",1113,"no","no","unknown",12,"jun",138,1,-1,0,"unknown"
48,"technician","married","tertiary","no",648,"no","no","cellular",14,"aug",85,2,-1,0,"unknown"
30,"blue-collar","married","secondary","no",458,"yes","no","unknown",12,"may",177,3,-1,0,"unknown"
53,"admin.","divorced","secondary","no",2647,"yes","no","cellular",9,"apr",494,1,-1,0,"unknown"
41,"blue-collar","married","secondary","no",598,"yes","no","cellular",12,"may",69,3,364,11,"failure"
59,"management","divorced","tertiary","no",0,"yes","no","cellular",31,"jul",52,8,-1,0,"unknown"
78,"retired","married","unknown","no",4807,"no","no","telephone",3,"feb",892,2,104,4,"success"
30,"management","married","tertiary","no",10884,"no","no","cellular",4,"may",333,2,-1,0,"unknown"
37,"self-employed","married","secondary","yes",0,"yes","no","cellular",17,"jul",158,1,-1,0,"unknown"
45,"technician","single","tertiary","no",302,"yes","no","cellular",21,"nov",22,2,154,4,"failure"
29,"management","single","secondary","no",966,"no","no","cellular",9,"jul",1185,1,396,2,"other"
45,"unemployed","married","secondary","no",383,"no","no","cellular",23,"apr",293,1,-1,0,"unknown"
34,"management","married","tertiary","no",815,"no","no","cellular",17,"nov",161,2,-1,0,"unknown"
52,"blue-collar","married","primary","no",238,"yes","no","unknown",15,"may",734,5,-1,0,"unknown"
65,"admin.","married","secondary","no",952,"no","no","cellular",2,"jun",310,1,-1,0,"unknown"
57,"entrepreneur","married","unknown","no",618,"yes","no","unknown",8,"may",10,7,-1,0,"unknown"
44,"blue-collar","married","secondary","no",594,"no","no","unknown",11,"jun",340,1,-1,0,"unknown"
42,"management","married","tertiary","no",344,"yes","yes","unknown",4,"jun",66,2,-1,0,"unknown"
33,"management","married","tertiary","no",22867,"yes","no","cellular",10,"feb",165,1,92,5,"success"
35,"unemployed","married","secondary","no",533,"yes","no","unknown",6,"may",802,1,-1,0,"unknown"
29,"admin.","married","tertiary","no",167,"yes","yes","cellular",13,"oct",357,2,237,2,"failure"
37,"housemaid","married","secondary","no",285,"no","no","unknown",16,"jun",401,2,-1,0,"unknown"
35,"blue-collar","married","secondary","no",503,"yes","yes","unknown",9,"may",57,2,-1,0,"unknown"
34,"technician","single","tertiary","no",632,"no","no","cellular",22,"aug",215,10,-1,0,"unknown"
29,"self-employed","single","tertiary","no",655,"no","no","cellular",23,"mar",273,1,-1,0,"unknown"
37,"management","married","tertiary","no",308,"yes","no","unknown",7,"may",96,3,-1,0,"unknown"
27,"unemployed","married","secondary","no",1167,"no","no","cellular",29,"jan",394,1,-1,0,"unknown"
29,"services","married","secondary","no",399,"no","no","cellular",18,"dec",454,6,199,1,"failure"
30,"blue-collar","married","primary","no",-430,"yes","no","unknown",30,"may",648,5,-1,0,"unknown"
43,"management","married","tertiary","no",5082,"no","no","cellular",3,"feb",99,3,-1,0,"unknown"
32,"management","single","tertiary","no",0,"no","no","cellular",19,"nov",57,1,-1,0,"unknown"
43,"management","married","tertiary","no",3518,"no","no","cellular",15,"jun",181,2,-1,0,"unknown"
43,"blue-collar","married","secondary","no",576,"yes","yes","unknown",13,"may",148,1,-1,0,"unknown"
44,"technician","single","secondary","no",0,"no","no","cellular",20,"aug",156,2,-1,0,"unknown"
26,"unemployed","single","tertiary","no",102,"no","no","cellular",28,"jul",377,2,-1,0,"unknown"
39,"technician","single","tertiary","no",47,"yes","no","unknown",5,"may",181,1,-1,0,"unknown"
53,"services","married","primary","no",49,"no","no","unknown",28,"may",152,1,-1,0,"unknown"
33,"services","married","secondary","no",0,"yes","no","unknown",26,"may",192,6,-1,0,"unknown"
51,"services","single","primary","no",2499,"yes","no","cellular",12,"may",98,5,-1,0,"unknown"
36,"admin.","single","secondary","no",115,"no","no","cellular",4,"may",134,3,91,1,"failure"
31,"management","married","tertiary","no",2395,"no","no","cellular",27,"apr",218,1,-1,0,"unknown"
35,"blue-collar","married","secondary","no",1257,"yes","no","cellular",20,"apr",93,3,329,7,"failure"
32,"technician","married","tertiary","no",903,"yes","no","cellular",23,"jun",181,1,320,1,"other"
54,"admin.","divorced","secondary","no",-437,"yes","yes","cellular",10,"jul",158,1,-1,0,"unknown"
48,"management","married","tertiary","no",11,"yes","no","cellular",21,"aug",102,9,-1,0,"unknown"
36,"technician","single","secondary","no",376,"no","no","cellular",13,"aug",479,1,-1,0,"unknown"
38,"technician","married","tertiary","no",-363,"no","no","cellular",26,"aug",101,2,-1,0,"unknown"
53,"unemployed","single","secondary","no",6248,"no","no","cellular",28,"jan",885,1,-1,0,"unknown"
40,"blue-collar","divorced","primary","no",54,"yes","no","cellular",13,"may",10,5,362,3,"other"
59,"technician","married","secondary","no",0,"no","no","unknown",1,"jul",249,1,-1,0,"unknown"
58,"technician","married","tertiary","no",883,"no","no","cellular",1,"jun",373,2,-1,0,"unknown"
32,"technician","married","tertiary","no",432,"yes","no","cellular",19,"nov",164,2,195,1,"other"
27,"technician","single","secondary","no",162,"no","no","unknown",26,"may",265,9,-1,0,"unknown"
32,"blue-collar","married","primary","no",2291,"yes","yes","cellular",29,"jan",489,3,182,24,"other"
40,"admin.","divorced","secondary","no",4,"yes","no","cellular",9,"jul",189,1,-1,0,"unknown"
45,"blue-collar","married","secondary","no",640,"yes","no","cellular",5,"may",214,1,1,1,"success"
52,"management","married","primary","no",798,"yes","no","unknown",30,"jun",123,2,-1,0,"unknown"
48,"blue-collar","married","secondary","no",794,"no","no","cellular",11,"aug",135,6,-1,0,"unknown"
72,"retired","married","primary","no",0,"no","no","cellular",28,"jun",348,6,94,6,"failure"
35,"entrepreneur","single","tertiary","no",3302,"yes","yes","cellular",18,"may",207,3,-1,0,"unknown"
54,"blue-collar","single","secondary","no",40,"yes","no","cellular",18,"jul",172,2,-1,0,"unknown"
39,"self-employed","married","tertiary","no",3201,"no","no","unknown",6,"jun",197,2,-1,0,"unknown"
43,"blue-collar","married","secondary","no",1071,"yes","no","unknown",19,"may",411,1,-1,0,"unknown"
29,"entrepreneur","married","secondary","no",422,"yes","no","cellular",15,"may",69,3,361,2,"failure"
60,"housemaid","married","primary","no",887,"no","no","cellular",14,"aug",95,2,-1,0,"unknown"
22,"technician","single","secondary","no",356,"yes","no","unknown",27,"may",518,2,-1,0,"unknown"
47,"services","married","secondary","no",344,"yes","no","unknown",3,"jun",87,1,-1,0,"unknown"
59,"management","divorced","secondary","no",0,"no","no","cellular",22,"aug",125,2,-1,0,"unknown"
35,"technician","single","secondary","no",966,"no","no","cellular",21,"apr",71,2,-1,0,"unknown"
49,"blue-collar","married","secondary","no",1743,"no","no","unknown",18,"jun",68,1,-1,0,"unknown"
41,"self-employed","single","tertiary","no",428,"yes","no","cellular",11,"may",106,1,-1,0,"unknown"
29,"technician","married","tertiary","no",858,"yes","no","cellular",12,"jun",234,7,330,1,"failure"
35,"admin.","divorced","secondary","no",183,"no","yes","cellular",6,"feb",12,7,217,1,"failure"
31,"technician","single","secondary","no",-2,"no","no","cellular",29,"aug",131,2,-1,0,"unknown"
42,"management","divorced","tertiary","no",16,"no","no","cellular",19,"nov",140,3,-1,0,"unknown"
36,"management","married","tertiary","no",5057,"yes","no","cellular",17,"nov",70,1,166,10,"failure"
40,"admin.","married","secondary","no",0,"yes","no","cellular",15,"may",13,8,366,7,"other"
39,"technician","married","unknown","no",880,"yes","no","unknown",16,"may",29,1,-1,0,"unknown"
31,"management","married","tertiary","no",10088,"no","no","cellular",8,"aug",72,6,-1,0,"unknown"
46,"blue-collar","married","secondary","no",836,"no","no","cellular",27,"aug",199,4,-1,0,"unknown"
56,"management","married","tertiary","no",0,"no","yes","unknown",20,"jun",422,1,-1,0,"unknown"
43,"technician","married","secondary","no",253,"no","no","cellular",21,"aug",111,5,-1,0,"unknown"
33,"blue-collar","single","secondary","no",498,"no","no","cellular",30,"apr",301,1,-1,0,"unknown"
28,"technician","single","secondary","no",389,"yes","no","cellular",11,"may",15,7,-1,0,"unknown"
41,"technician","single","secondary","no",214,"no","no","cellular",11,"aug",228,2,-1,0,"unknown"
42,"blue-collar","married","primary","no",517,"yes","no","cellular",31,"jul",101,7,-1,0,"unknown"
65,"retired","married","primary","no",2173,"no","no","cellular",15,"jan",543,4,276,1,"failure"
52,"services","married","secondary","no",1351,"yes","no","telephone",6,"feb",11,3,-1,0,"unknown"
47,"blue-collar","divorced","primary","no",1279,"yes","no","cellular",6,"feb",479,2,-1,0,"unknown"
36,"management","married","tertiary","no",0,"no","no","cellular",26,"aug",97,3,-1,0,"unknown"
37,"blue-collar","married","secondary","no",125,"no","no","unknown",26,"may",679,2,-1,0,"unknown"
59,"retired","married","secondary","no",2126,"no","no","cellular",18,"mar",359,1,343,1,"failure"
49,"blue-collar","married","secondary","no",64,"yes","no","unknown",7,"may",293,3,-1,0,"unknown"
29,"admin.","divorced","secondary","no",120,"no","yes","cellular",3,"feb",197,1,-1,0,"unknown"
41,"admin.","single","secondary","no",1020,"yes","no","unknown",19,"may",882,1,-1,0,"unknown"
33,"management","married","tertiary","no",519,"no","no","cellular",12,"aug",260,3,-1,0,"unknown"
46,"blue-collar","married","primary","no",369,"yes","no","unknown",13,"may",916,2,-1,0,"unknown"
33,"entrepreneur","married","tertiary","no",595,"no","no","cellular",7,"aug",22,2,-1,0,"unknown"
28,"blue-collar","single","secondary","no",-127,"yes","no","cellular",4,"jul",1044,3,-1,0,"unknown"
22,"student","single","unknown","no",1215,"no","no","cellular",11,"aug",154,1,-1,0,"unknown"
46,"blue-collar","married","secondary","no",0,"yes","no","unknown",26,"may",208,2,-1,0,"unknown"
34,"unemployed","married","tertiary","no",473,"no","no","cellular",28,"aug",94,11,-1,0,"unknown"
52,"technician","married","secondary","no",230,"yes","yes","cellular",21,"nov",89,4,-1,0,"unknown"
53,"retired","single","tertiary","no",888,"yes","no","cellular",9,"jul",128,1,-1,0,"unknown"
43,"management","married","tertiary","no",724,"yes","no","unknown",29,"may",138,1,-1,0,"unknown"
27,"blue-collar","single","secondary","yes",-2,"yes","yes","unknown",14,"may",123,5,-1,0,"unknown"
54,"admin.","married","secondary","no",1326,"yes","no","unknown",11,"jun",105,2,-1,0,"unknown"
40,"technician","single","secondary","no",2244,"no","yes","cellular",20,"aug",58,2,-1,0,"unknown"
30,"unemployed","single","tertiary","no",306,"no","no","cellular",6,"feb",90,6,256,14,"failure"
55,"blue-collar","single","secondary","no",82,"no","yes","cellular",7,"jul",500,1,-1,0,"unknown"
31,"blue-collar","single","secondary","no",1882,"no","no","cellular",7,"may",529,2,-1,0,"unknown"
40,"technician","divorced","tertiary","no",0,"no","no","unknown",17,"jun",522,1,-1,0,"unknown"
45,"management","divorced","tertiary","no",3150,"yes","no","cellular",17,"nov",101,2,-1,0,"unknown"
26,"student","single","secondary","no",108,"no","no","cellular",21,"oct",235,1,175,3,"success"
35,"admin.","married","secondary","no",332,"no","no","cellular",9,"jul",199,2,-1,0,"unknown"
46,"technician","single","tertiary","no",4414,"no","no","cellular",18,"aug",504,7,-1,0,"unknown"
34,"blue-collar","married","secondary","no",516,"yes","yes","unknown",2,"jun",26,1,-1,0,"unknown"
48,"blue-collar","married","primary","no",554,"no","no","unknown",16,"jun",263,8,-1,0,"unknown"
38,"admin.","divorced","secondary","no",-51,"no","yes","cellular",30,"jan",102,1,-1,0,"unknown"
50,"services","married","secondary","yes",0,"no","no","telephone",31,"jul",35,9,-1,0,"unknown"
59,"unemployed","married","secondary","no",0,"no","no","cellular",13,"oct",78,1,216,1,"failure"
34,"self-employed","married","secondary","no",1813,"no","no","cellular",4,"may",370,5,-1,0,"unknown"
30,"technician","single","secondary","no",-123,"no","yes","cellular",21,"aug",120,2,-1,0,"unknown"
60,"services","married","primary","no",808,"no","no","cellular",18,"aug",393,3,-1,0,"unknown"
45,"blue-collar","married","primary","no",804,"yes","no","unknown",16,"may",528,1,-1,0,"unknown"
34,"blue-collar","married","secondary","no",205,"yes","yes","cellular",7,"jul",309,1,-1,0,"unknown"
40,"services","married","secondary","no",1185,"yes","no","cellular",11,"may",94,1,-1,0,"unknown"
27,"services","single","secondary","no",44,"no","no","unknown",7,"sep",11,1,-1,0,"unknown"
34,"technician","divorced","unknown","no",975,"yes","no","cellular",30,"jan",263,2,191,1,"other"
42,"technician","divorced","tertiary","no",802,"no","no","telephone",28,"jan",119,2,-1,0,"unknown"
33,"management","married","tertiary","no",322,"yes","no","cellular",16,"apr",77,3,-1,0,"unknown"
55,"housemaid","divorced","tertiary","no",6920,"yes","no","unknown",6,"may",406,3,-1,0,"unknown"
30,"services","married","primary","no",997,"yes","no","cellular",28,"jul",76,3,-1,0,"unknown"
35,"management","married","tertiary","no",178,"no","no","cellular",14,"aug",76,2,-1,0,"unknown"
24,"blue-collar","single","secondary","no",1690,"yes","yes","cellular",15,"may",543,3,350,3,"failure"
31,"technician","married","secondary","no",7,"no","no","telephone",6,"aug",116,6,-1,0,"unknown"
37,"blue-collar","married","secondary","no",1590,"no","no","unknown",12,"jun",305,2,-1,0,"unknown"
37,"blue-collar","married","secondary","no",453,"yes","yes","unknown",23,"may",98,1,-1,0,"unknown"
51,"management","married","tertiary","no",401,"no","no","cellular",19,"aug",80,6,-1,0,"unknown"
31,"management","single","tertiary","no",98,"no","no","cellular",11,"aug",69,2,-1,0,"unknown"
45,"blue-collar","married","unknown","no",458,"yes","yes","cellular",11,"jul",145,2,-1,0,"unknown"
41,"technician","married","secondary","no",1190,"no","no","cellular",25,"aug",69,4,-1,0,"unknown"
37,"admin.","married","secondary","no",1049,"no","no","cellular",31,"jul",126,5,-1,0,"unknown"
53,"management","married","secondary","no",2693,"no","no","cellular",21,"nov",140,1,-1,0,"unknown"
44,"technician","divorced","tertiary","no",9192,"yes","no","unknown",6,"jun",59,3,-1,0,"unknown"
36,"management","married","tertiary","no",287,"yes","yes","cellular",15,"jul",119,5,-1,0,"unknown"
44,"technician","divorced","secondary","no",268,"no","no","unknown",17,"jun",108,6,-1,0,"unknown"
43,"technician","married","secondary","no",-705,"yes","no","cellular",27,"aug",125,6,-1,0,"unknown"
29,"admin.","single","secondary","no",315,"yes","no","unknown",2,"jun",121,4,-1,0,"unknown"
34,"blue-collar","married","secondary","no",2139,"yes","no","cellular",15,"may",1452,1,-1,0,"unknown"
46,"blue-collar","married","secondary","no",519,"yes","no","cellular",25,"aug",217,6,-1,0,"unknown"
48,"services","married","primary","no",337,"no","no","cellular",25,"aug",770,12,-1,0,"unknown"
45,"technician","married","secondary","no",1395,"yes","no","cellular",11,"aug",243,4,-1,0,"unknown"
50,"blue-collar","married","secondary","no",3988,"no","no","unknown",30,"jun",165,4,-1,0,"unknown"
51,"housemaid","married","primary","no",339,"no","no","cellular",4,"sep",313,1,-1,0,"unknown"
32,"services","married","secondary","no",2833,"yes","no","cellular",30,"mar",415,1,-1,0,"unknown"
53,"blue-collar","married","primary","no",1100,"yes","no","unknown",17,"jun",714,2,-1,0,"unknown"
27,"technician","single","secondary","no",643,"no","no","cellular",13,"jul",317,1,-1,0,"unknown"
41,"management","married","tertiary","no",9935,"no","no","telephone",21,"nov",49,1,-1,0,"unknown"
32,"management","single","tertiary","no",3,"yes","no","cellular",13,"may",568,1,-1,0,"unknown"
25,"student","single","tertiary","no",20,"no","no","cellular",8,"sep",127,2,-1,0,"unknown"
26,"student","single","tertiary","no",5169,"yes","no","cellular",25,"may",397,1,35,2,"failure"
52,"self-employed","married","tertiary","no",4012,"no","no","cellular",31,"aug",634,3,92,5,"other"
