"age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
48,"unemployed","married","primary","no",0,"no","no","cellular",29,"jul",569,2,-1,0,"unknown","no"
56,"technician","married","primary","no",284,"no","no","cellular",4,"feb",177,1,197,9,"failure","no"
46,"admin.","married","secondary","no",974,"no","no","cellular",17,"mar",178,1,-1,0,"unknown","yes"
30,"services","married","secondary","no",637,"yes","no","cellular",15,"may",69,5,-1,0,"unknown","no"
54,"admin.","divorced","secondary","no",1872,"no","no","cellular",13,"feb",439,5,-1,0,"unknown","yes"
33,"self-employed","married","tertiary","no",631,"no","no","cellular",20,"nov",51,2,-1,0,"unknown","no"
52,"technician","married","secondary","no",0,"no","no","cellular",29,"aug",67,2,-1,0,"unknown","no"
35,"services","married","secondary","no",63,"no","yes","cellular",10,"jul",480,4,-1,0,"unknown","no"
44,"blue-collar","married","primary","no",93,"yes","no","cellular",17,"nov",230,1,-1,0,"unknown","no"
56,"unemployed","divorced","primary","no",1770,"no","no","cellular",5,"feb",916,3,-1,0,"unknown","no"
40,"unemployed","divorced","secondary","no",452,"no","no","cellular",20,"nov",98,1,-1,0,"unknown","no"
48,"technician","married","unknown","no",2005,"yes","no","unknown",30,"may",152,1,-1,0,"unknown","no"
39,"blue-collar","single","secondary","no",-480,"yes","yes","cellular",2,"feb",147,2,252,3,"other","no"
33,"technician","single","tertiary","no",68,"no","no","cellular",14,"aug",96,2,-1,0,"unknown","no"
30,"blue-collar","married","secondary","no",1780,"yes","no","unknown",28,"may",116,12,-1,0,"unknown","no"
57,"retired","divorced","tertiary","no",0,"yes","no","cellular",5,"may",180,1,-1,0,"unknown","no"
28,"blue-collar","single","primary","no",0,"yes","yes","unknown",3,"jun",380,4,-1,0,"unknown","no"
57,"technician","married","unknown","no",2610,"no","no","telephone",3,"feb",258,2,-1,0,"unknown","no"
41,"technician","married","secondary","no",923,"yes","no","cellular",7,"jul",141,3,-1,0,"unknown","no"
28,"admin.","single","secondary","no",428,"yes","yes","unknown",27,"may",99,2,-1,0,"unknown","no"
44,"management","single","tertiary","no",-1313,"yes","yes","cellular",15,"may",104,10,-1,0,"unknown","no"
29,"technician","single","secondary","no",778,"yes","no","unknown",6,"jun",1994,2,-1,0,"unknown","no"
37,"self-employed","single","tertiary","no",676,"no","no","cellular",5,"aug",133,2,-1,0,"unknown","no"
29,"technician","single","secondary","no",544,"yes","no","unknown",13,"may",360,1,-1,0,"unknown","no"
60,"management","divorced","tertiary","no",2589,"yes","no","unknown",19,"may",134,2,-1,0,"unknown","no"
26,"technician","single","tertiary","no",172,"no","yes","telephone",4,"nov",21,1,140,4,"other","no"
47,"services","divorced","secondary","no",-1730,"yes","yes","cellular",18,"may",178,3,-1,0,"unknown","no"
36,"technician","married","tertiary","no",52,"no","no","cellular",28,"aug",101,10,-1,0,"unknown","no"
56,"housemaid","divorced","secondary","no",0,"no","no","unknown",15,"may",103,1,-1,0,"unknown","no"
55,"retired","married","secondary","no",0,"no","no","cellular",4,"aug",1110,1,-1,0,"unknown","yes"
54,"management","single","secondary","no",602,"no","no","cellular",30,"jul",101,2,-1,0,"unknown","no"
48,"services","married","secondary","no",0,"no","no","telephone",24,"jul",154,1,-1,0,"unknown","no"
33,"management","married","tertiary","no",685,"no","no","cellular",12,"aug",72,2,-1,0,"unknown","no"
44,"blue-collar","divorced","primary","no",25,"yes","no","cellular",13,"may",201,1,344,7,"failure","no"
61,"retired","married","secondary","no",5196,"no","no","telephone",16,"mar",244,2,95,4,"other","no"
58,"technician","married","primary","no",4015,"no","no","unknown",20,"jun",106,3,-1,0,"unknown","no"
60,"entrepreneur","married","secondary","no",480,"no","yes","telephone",15,"jul",341,6,-1,0,"unknown","no"
33,"admin.","married","secondary","no",82,"yes","no","cellular",25,"jul",735,1,-1,0,"unknown","yes"
43,"blue-collar","married","secondary","no",101,"no","no","unknown",6,"jun",153,1,-1,0,"unknown","no"
44,"blue-collar","single","secondary","no",25,"yes","no","cellular",12,"may",244,3,-1,0,"unknown","no"
47,"technician","single","secondary","no",361,"no","no","unknown",9,"jun",123,2,-1,0,"unknown","no"
36,"services","single","tertiary","no",72,"yes","no","unknown",8,"may",80,1,-1,0,"unknown","no"
48,"admin.","single","secondary","no",3531,"yes","no","cellular",20,"apr",81,2,287,6,"failure","no"
30,"management","married","tertiary","no",1567,"yes","no","cellular",12,"aug",1133,4,-1,0,"unknown","yes"
36,"blue-collar","single","secondary","no",767,"yes","no","cellular",5,"may",62,1,355,2,"other","no"
42,"entrepreneur","married","primary","no",558,"yes","no","cellular",6,"may",186,2,-1,0,"unknown","no"
40,"technician","married","tertiary","no",516,"yes","no","cellular",9,"feb",175,5,12,1,"other","no"
72,"retired","married","secondary","no",1129,"no","no","cellular",26,"aug",186,1,-1,0,"unknown","yes"
56,"management","married","tertiary","no",1388,"no","no","cellular",18,"nov",132,1,-1,0,"unknown","no"
53,"admin.","divorced","secondary","no",0,"yes","yes","cellular",6,"aug",1452,1,98,2,"failure","yes"
33,"management","married","tertiary","no",340,"no","no","cellular",7,"aug",402,2,-1,0,"unknown","no"
51,"technician","married","secondary","no",2682,"no","no","unknown",18,"jun",56,1,-1,0,"unknown","no"
46,"management","married","tertiary","no",-267,"no","no","unknown",23,"may",249,3,-1,0,"unknown","no"
44,"blue-collar","married","secondary","no",3813,"yes","no","unknown",3,"jun",771,1,-1,0,"unknown","no"
36,"blue-collar","married","primary","no",356,"yes","yes","cellular",12,"may",692,4,172,4,"other","no"
37,"management","married","tertiary","no",0,"no","no","cellular",14,"sep",155,1,-1,0,"unknown","no"
29,"admin.","single","secondary","no",900,"yes","no","unknown",14,"may",339,1,-1,0,"unknown","no"
32,"blue-collar","single","primary","no",557,"yes","no","unknown",21,"may",112,2,-1,0,"unknown","no"
36,"services","married","secondary","no",0,"yes","no","cellular",6,"may",456,3,-1,0,"unknown","no"
28,"technician","single","secondary","no",981,"yes","no","cellular",24,"jul",225,1,-1,0,"unknown","no"
45,"technician","married","secondary","no",406,"yes","no","cellular",3,"jun",240,1,307,10,"other","no"
29,"blue-collar","married","secondary","no",37,"yes","no","cellular",11,"may",138,3,353,1,"other","no"
44,"services","married","secondary","no",0,"no","no","cellular",31,"jul",160,5,-1,0,"unknown","no"
51,"blue-collar","divorced","secondary","no",44,"no","no","unknown",21,"may",137,2,-1,0,"unknown","no"
31,"self-employed","married","secondary","no",263,"yes","no","unknown",13,"may",150,2,-1,0,"unknown","no"
53,"technician","married","secondary","no",1225,"no","no","cellular",6,"aug",70,2,-1,0,"unknown","no"
57,"technician","married","secondary","no",2550,"no","no","cellular",29,"jan",73,2,-1,0,"unknown","no"
36,"technician","single","secondary","yes",0,"no","yes","cellular",26,"aug",109,14,-1,0,"unknown","no"
36,"management","married","tertiary","no",200,"no","no","cellular",28,"aug",131,1,-1,0,"unknown","no"
38,"management","single","tertiary","no",8,"yes","no","cellular",28,"jul",219,2,-1,0,"unknown","no"
41,"management","single","tertiary","no",4594,"yes","no","unknown",4,"jun",393,11,-1,0,"unknown","no"
48,"management","married","tertiary","no",7289,"yes","no","cellular",2,"feb",316,3,-1,0,"unknown","no"
37,"management","divorced","tertiary","no",0,"yes","no","cellular",6,"aug",99,5,-1,0,"unknown","no"
32,"technician","single","tertiary","no",654,"yes","no","cellular",25,"may",615,4,-1,0,"unknown","yes"
34,"admin.","married","secondary","no",75,"yes","yes","cellular",25,"may",111,1,-1,0,"unknown","no"
59,"retired","married","primary","no",363,"no","no","cellular",30,"apr",400,1,-1,0,"unknown","yes"
36,"management","married","tertiary","no",2957,"yes","yes","cellular",30,"apr",193,2,265,3,"success","no"
32,"admin.","divorced","tertiary","no",146,"yes","no","cellular",12,"may",69,1,361,1,"failure","no"
53,"technician","divorced","secondary","no",320,"no","no","cellular",9,"jul",175,1,-1,0,"unknown","no"
27,"management","single","tertiary","no",592,"no","no","cellular",7,"sep",667,1,221,3,"failure","no"
26,"blue-collar","married","secondary","no",127,"yes","yes","unknown",4,"jun",165,2,-1,0,"unknown","no"
35,"technician","married","secondary","no",-67,"yes","no","cellular",17,"jul",160,6,-1,0,"unknown","no"
45,"technician","married","secondary","no",2403,"no","no","cellular",21,"nov",207,1,-1,0,"unknown","no"
55,"technician","divorced","tertiary","no",525,"yes","no","cellular",15,"may",28,8,366,4,"other","no"
31,"management","married","secondary","no",678,"yes","no","cellular",29,"jan",249,1,259,4,"failure","no"
52,"blue-collar","married","secondary","no",-164,"no","no","cellular",22,"aug",314,4,-1,0,"unknown","no"
45,"management","married","secondary","no",672,"yes","no","telephone",28,"jan",227,3,187,1,"other","no"
35,"blue-collar","married","secondary","no",280,"yes","yes","cellular",31,"jul",65,50,-1,0,"unknown","no"
42,"technician","married","secondary","no",-158,"yes","no","unknown",29,"may",124,3,-1,0,"unknown","no"
43,"admin.","single","secondary","no",2527,"yes","no","unknown",7,"may",276,4,-1,0,"unknown","no"
54,"management","single","tertiary","no",1464,"yes","yes","unknown",26,"may",425,4,-1,0,"unknown","no"
28,"technician","single","secondary","no",2335,"no","no","cellular",13,"may",624,1,-1,0,"unknown","yes"
29,"admin.","married","secondary","no",301,"yes","no","unknown",2,"jun",150,5,-1,0,"unknown","no"
41,"blue-collar","married","primary","no",1821,"no","yes","cellular",14,"jul",137,3,-1,0,"unknown","no"
39,"self-employed","married","secondary","no",167,"yes","yes","cellular",17,"jul",330,1,-1,0,"unknown","no"
55,"management","divorced","tertiary","no",2383,"no","no","cellular",3,"jun",591,2,-1,0,"unknown","yes"
39,"technician","single","unknown","no",45248,"yes","no","unknown",6,"may",1623,1,-1,0,"unknown","yes"
50,"blue-collar","married","unknown","no",605,"yes","no","unknown",15,"may",200,1,-1,0,"unknown","no"
43,"technician","divorced","tertiary","no",1026,"yes","yes","unknown",7,"may",224,5,-1,0,"unknown","no"
32,"self-employed","married","tertiary","no",210,"yes","no","cellular",19,"nov",268,1,-1,0,"unknown","no"
43,"technician","married","unknown","no",1156,"no","no","unknown",16,"jun",90,2,-1,0,"unknown","no"
38,"blue-collar","single","primary","no",0,"yes","yes","cellular",8,"may",84,1,290,1,"failure","no"
56,"management","divorced","tertiary","no",1016,"yes","no","unknown",9,"jun",184,5,-1,0,"unknown","no"
56,"technician","married","secondary","no",6619,"yes","no","telephone",4,"nov",465,1,-1,0,"unknown","yes"
38,"technician","single","tertiary","no",1314,"yes","yes","cellular",16,"jul",378,2,-1,0,"unknown","no"
43,"blue-collar","married","secondary","no",2706,"yes","yes","unknown",14,"may",44,1,-1,0,"unknown","no"
49,"blue-collar","married","primary","no",327,"yes","no","unknown",16,"may",138,2,-1,0,"unknown","no"
60,"management","divorced","secondary","no",0,"no","no","cellular",5,"aug",603,3,-1,0,"unknown","yes"
29,"admin.","single","secondary","no",187,"no","no","cellular",28,"jan",299,1,-1,0,"unknown","no"
34,"management","married","tertiary","no",786,"yes","yes","cellular",18,"nov",250,1,-1,0,"unknown","no"
38,"management","divorced","tertiary","no",714,"yes","no","cellular",7,"apr",163,2,-1,0,"unknown","no"
39,"unknown","single","secondary","no",0,"no","no","unknown",6,"jun",188,1,-1,0,"unknown","no"
54,"management","divorced","tertiary","no",6410,"no","no","cellular",20,"nov",101,2,-1,0,"unknown","no"
35,"admin.","married","secondary","no",214,"yes","yes","unknown",5,"jun",247,1,-1,0,"unknown","no"
33,"technician","single","secondary","no",487,"yes","no","cellular",26,"aug",532,14,-1,0,"unknown","no"
37,"technician","single","secondary","no",-272,"no","yes","cellular",20,"nov",104,3,139,6,"failure","no"
27,"technician","single","secondary","no",905,"yes","yes","cellular",7,"may",245,1,-1,0,"unknown","no"
53,"retired","married","primary","no",17,"no","yes","unknown",6,"jun",104,2,-1,0,"unknown","no"
40,"blue-collar","married","primary","no",2495,"yes","no","cellular",12,"may",135,2,354,3,"other","no"
38,"admin.","married","secondary","no",-728,"yes","no","cellular",11,"jul",333,1,-1,0,"unknown","no"
43,"blue-collar","married","primary","no",289,"yes","no","cellular",6,"may",284,3,-1,0,"unknown","no"
41,"technician","married","secondary","no",64,"yes","yes","unknown",8,"may",210,2,-1,0,"unknown","no"
39,"technician","single","secondary","no",287,"yes","no","cellular",14,"jul",84,3,-1,0,"unknown","no"
35,"housemaid","married","tertiary","no",2880,"no","no","cellular",29,"jan",42,1,-1,0,"unknown","no"
59,"housemaid","married","primary","no",0,"no","no","unknown",5,"jun",307,1,-1,0,"unknown","no"
39,"services","married","primary","no",1951,"yes","no","unknown",23,"may",208,2,-1,0,"unknown","no"
36,"technician","single","secondary","no",-15,"yes","no","unknown",6,"may",341,3,-1,0,"unknown","no"
43,"technician","divorced","secondary","no",1326,"no","no","cellular",26,"aug",93,2,-1,0,"unknown","no"
42,"admin.","married","secondary","no",-1386,"yes","yes","cellular",15,"jul",56,4,-1,0,"unknown","no"
33,"blue-collar","married","secondary","no",66,"no","no","cellular",10,"jul",182,1,-1,0,"unknown","no"
46,"blue-collar","married","secondary","no",1045,"yes","yes","unknown",7,"may",149,1,-1,0,"unknown","no"
60,"retired","divorced","tertiary","no",129,"no","no","cellular",17,"jul",490,7,-1,0,"unknown","no"
56,"admin.","married","secondary","no",2087,"yes","no","unknown",12,"may",146,1,-1,0,"unknown","no"
27,"admin.","single","tertiary","no",73,"no","no","cellular",29,"jan",242,1,-1,0,"unknown","no"
32,"self-employed","single","tertiary","no",0,"yes","no","cellular",6,"may",767,1,-1,0,"unknown","yes"
36,"entrepreneur","married","tertiary","no",99,"yes","yes","cellular",20,"apr",393,3,-1,0,"unknown","no"
37,"blue-collar","married","secondary","no",151,"yes","no","unknown",5,"jun",202,1,-1,0,"unknown","no"
41,"technician","married","secondary","no",4004,"no","no","cellular",17,"apr",314,2,-1,0,"unknown","yes"
67,"management","married","tertiary","no",694,"no","no","cellular",7,"jul",250,1,-1,0,"unknown","no"
35,"services","married","tertiary","no",6,"yes","yes","cellular",16,"apr",316,2,-1,0,"unknown","no"
32,"blue-collar","single","secondary","no",567,"yes","no","cellular",7,"may",275,2,342,4,"other","no"
50,"blue-collar","divorced","primary","no",-333,"no","yes","cellular",30,"jul",208,2,-1,0,"unknown","no"
40,"services","married","secondary","no",695,"yes","no","cellular",11,"may",270,1,348,10,"failure","no"
31,"services","single","secondary","no",1709,"no","yes","telephone",28,"jan",944,3,-1,0,"unknown","yes"
33,"management","married","tertiary","no",855,"yes","yes","cellular",12,"aug",191,2,-1,0,"unknown","no"
28,"blue-collar","divorced","unknown","no",101,"yes","no","unknown",28,"may",126,4,-1,0,"unknown","no"
36,"management","married","secondary","no",644,"yes","no","cellular",18,"nov",54,2,-1,0,"unknown","no"
40,"services","divorced","secondary","no",1062,"yes","no","cellular",15,"apr",389,2,299,4,"failure","no"
40,"admin.","single","secondary","no",739,"yes","no","unknown",16,"may",132,1,-1,0,"unknown","no"
46,"blue-collar","married","primary","no",588,"yes","no","cellular",20,"apr",249,3,237,4,"failure","no"
43,"blue-collar","married","secondary","no",1324,"yes","no","telephone",12,"may",179,5,-1,0,"unknown","no"
44,"housemaid","married","primary","no",0,"yes","no","telephone",9,"jul",224,1,-1,0,"unknown","no"
41,"technician","divorced","secondary","no",52,"no","no","cellular",20,"aug",261,2,-1,0,"unknown","no"
34,"blue-collar","married","primary","no",428,"yes","no","cellular",18,"may",59,2,-1,0,"unknown","no"
50,"services","married","unknown","no",1688,"no","no","telephone",29,"jul",156,2,-1,0,"unknown","no"
49,"admin.","married","secondary","no",652,"no","yes","unknown",17,"jun",127,2,-1,0,"unknown","no"
31,"admin.","married","secondary","no",799,"yes","no","cellular",7,"may",556,3,-1,0,"unknown","no"
36,"admin.","married","secondary","no",162,"yes","yes","cellular",20,"apr",340,2,-1,0,"unknown","no"
46,"blue-collar","married","unknown","no",842,"yes","no","telephone",8,"may",833,1,-1,0,"unknown","yes"
35,"admin.","married","secondary","no",1286,"yes","no","cellular",5,"may",862,3,337,1,"other","yes"
52,"blue-collar","married","unknown","no",51,"no","no","cellular",14,"aug",935,2,-1,0,"unknown","no"
58,"retired","married","primary","no",1077,"no","no","cellular",15,"jun",592,1,-1,0,"unknown","no"
35,"technician","married","secondary","no",746,"no","yes","cellular",27,"jan",240,1,-1,0,"unknown","no"
31,"management","married","secondary","no",2294,"no","no","cellular",20,"aug",483,2,-1,0,"unknown","no"
42,"blue-collar","married","primary","no",1556,"no","yes","cellular",8,"jul",113,1,-1,0,"unknown","no"
41,"technician","married","secondary","no",2851,"no","no","cellular",18,"aug",296,3,-1,0,"unknown","no"
33,"blue-collar","single","primary","no",910,"yes","no","cellular",20,"apr",42,1,-1,0,"unknown","no"
45,"technician","married","secondary","no",1786,"yes","yes","telephone",15,"jul",78,4,-1,0,"unknown","no"
60,"retired","single","tertiary","no",305,"yes","no","cellular",3,"feb",137,5,211,3,"other","no"
40,"self-employed","divorced","tertiary","no",4647,"yes","no","telephone",8,"may",330,2,-1,0,"unknown","no"
46,"technician","married","secondary","no",1975,"yes","no","cellular",8,"aug",41,2,-1,0,"unknown","no"
46,"management","single","secondary","no",-246,"yes","no","unknown",5,"may",255,2,-1,0,"unknown","no"
63,"technician","married","secondary","no",896,"yes","no","cellular",28,"jan",115,3,91,4,"other","no"
37,"services","married","secondary","no",52,"yes","no","cellular",6,"sep",908,1,185,9,"success","yes"
57,"retired","married","primary","no",6969,"no","no","cellular",19,"nov",152,2,-1,0,"unknown","no"
26,"services","single","secondary","no",38,"no","no","telephone",28,"aug",268,3,-1,0,"unknown","no"
50,"management","married","secondary","no",-187,"yes","no","unknown",29,"may",31,2,-1,0,"unknown","no"
26,"technician","single","secondary","no",639,"yes","no","unknown",6,"jun",709,5,-1,0,"unknown","yes"
31,"services","married","secondary","no",1004,"no","no","cellular",5,"feb",96,6,-1,0,"unknown","no"
29,"management","single","tertiary","no",15459,"no","no","cellular",18,"feb",264,7,-1,0,"unknown","yes"
48,"management","single","secondary","no",61,"yes","no","unknown",28,"may",198,1,-1,0,"unknown","no"
33,"admin.","single","secondary","no",901,"no","no","cellular",3,"feb",18,5,6,3,"other","no"
51,"blue-collar","married","primary","no",0,"yes","yes","cellular",25,"jul",946,3,-1,0,"unknown","yes"
30,"services","single","tertiary","no",1788,"no","no","cellular",4,"aug",288,1,181,2,"failure","yes"
49,"technician","divorced","secondary","no",30,"no","yes","cellular",15,"jul",439,2,-1,0,"unknown","no"
27,"technician","married","secondary","no",806,"yes","no","cellular",14,"may",304,2,332,21,"failure","no"
29,"technician","single","secondary","no",382,"no","no","cellular",5,"aug",409,4,-1,0,"unknown","yes"
39,"management","married","secondary","no",763,"no","no","cellular",19,"nov",360,1,153,2,"other","no"
48,"services","married","secondary","no",-110,"yes","no","cellular",20,"apr",97,2,321,2,"other","no"
25,"student","single","unknown","no",1003,"no","no","cellular",12,"aug",361,1,-1,0,"unknown","yes"
34,"services","single","secondary","no",0,"yes","no","unknown",5,"may",142,1,-1,0,"unknown","no"
24,"blue-collar","single","secondary","no",1857,"yes","no","cellular",8,"oct",147,1,92,5,"other","yes"
30,"blue-collar","divorced","primary","no",-242,"no","yes","cellular",25,"jul",124,2,-1,0,"unknown","no"
44,"technician","married","tertiary","no",0,"no","no","cellular",14,"aug",41,2,-1,0,"unknown","no"
40,"admin.","divorced","secondary","no",6,"no","no","unknown",11,"jun",140,1,-1,0,"unknown","no"
39,"blue-collar","married","secondary","no",497,"no","no","unknown",6,"jun",95,4,-1,0,"unknown","no"
60,"retired","married","tertiary","no",0,"no","no","cellular",25,"aug",101,3,-1,0,"unknown","no"
37,"management","married","tertiary","no",1967,"yes","no","cellular",27,"may",774,1,-1,0,"unknown","no"
54,"blue-collar","divorced","unknown","no",1545,"yes","no","unknown",3,"jun",148,2,-1,0,"unknown","no"
36,"blue-collar","married","primary","no",4138,"no","no","unknown",12,"jun",174,1,-1,0,"unknown","no"
49,"blue-collar","married","primary","no",4140,"no","no","cellular",7,"jul",205,4,-1,0,"unknown","no"
51,"blue-collar","divorced","secondary","no",581,"yes","no","cellular",13,"may",107,7,173,2,"other","no"
40,"admin.","married","secondary","no",767,"yes","no","cellular",6,"feb",168,1,-1,0,"unknown","no"
33,"technician","single","tertiary","no",1257,"yes","no","cellular",22,"jul",66,1,-1,0,"unknown","no"
55,"management","single","tertiary","no",1464,"yes","no","unknown",16,"may",92,1,-1,0,"unknown","no"
37,"blue-collar","married","primary","no",3370,"yes","no","cellular",20,"nov",156,4,-1,0,"unknown","no"
79,"retired","married","secondary","no",8304,"no","no","cellular",9,"dec",456,2,275,9,"success","yes"
52,"entrepreneur","divorced","primary","no",278,"yes","no","unknown",7,"may",688,2,-1,0,"unknown","no"
42,"management","single","tertiary","no",7104,"no","no","cellular",20,"nov",20,6,-1,0,"unknown","no"
46,"technician","divorced","secondary","no",117,"no","no","cellular",29,"aug",94,2,-1,0,"unknown","no"
